t,sigma(t),X(t)
0.482,0.046079094411522324,1.0687040587053591
0.483,0.043879894712916506,1.057156912185274
0.484,0.04413781138997462,1.0586874447288064
0.485,0.04312041514863094,1.0534735000726634
0.486,0.04124317577160704,1.0437400468577573
0.487,0.04040897703978662,1.0395104510303201
0.488,0.03903271203420273,1.0324675698305708
0.489,0.04114373668430838,1.0434536586374583
0.49,0.042271332618001825,1.0494588760591241
0.491,0.0422541515701924,1.0495094229837587
0.492,0.044171411018208824,1.0597107695107528
0.493,0.04426173717853122,1.0603616459497156
0.494,0.043102935906008895,1.054391724730747
0.495,0.045093575105403676,1.0650408070461777
0.496,0.04580206942920129,1.0690015609390227
0.497,0.04438070436917639,1.06160429007511
0.498,0.04411395940027704,1.0603643211056981
0.499,0.04293847529799378,1.054303584963866
0.5,0.04111743289311408,1.044855828318798
0.501,0.042301863964192554,1.051165625784988
0.502,0.04477872307481698,1.0643249827366863
0.503,0.042892630608390866,1.0544706302914277
0.504,0.04362135758482216,1.0584639362355086
0.505,0.042751040657065205,1.0540212833695584
0.506,0.04210578068575364,1.0507695916136106
0.507,0.04133066674491617,1.046835528132101
0.508,0.0402157738817404,1.0411255592271176
0.509,0.04027666742197579,1.0415500306042442
0.51,0.03922113069965387,1.0361615365245407
0.511,0.039562224088376084,1.038020186410812
0.512,0.03950033937272872,1.037795984205591
0.513,0.03920148402676537,1.0363412312276292
0.514,0.03806740859948499,1.0305560067022854
0.515,0.03736148449350726,1.0269917160093547
0.516,0.03829285133275598,1.031836299319811
0.517,0.03891792009186582,1.0351379036563966
0.518,0.03770148572949315,1.0289287293388365
0.519,0.03783036439404791,1.0296591819040506
0.52,0.03876117554224362,1.034520729270687
0.521,0.03668619951801465,1.0238719289508693
0.522,0.037354358041769495,1.0273439663171988
0.523,0.03655232738380973,1.0232861241630065
0.524,0.03725262143122989,1.0269185393499856
0.525,0.03632915425025869,1.0222372833510145
0.526,0.03416442938616527,1.011218907627181
0.527,0.03227932772800677,1.001700261730175
0.528,0.03235712857278917,1.0020740903977208
0.529,0.03267553478544353,1.0036547500348718
0.53,0.03166364787159754,0.9985669214574163
0.531,0.032407334769595016,1.0022550177486542
0.532,0.03053839107703521,0.9928753054792613
0.533,0.03049374245948216,0.9926120274931024
0.534,0.029184787342406315,0.9860733253489936
0.535,0.028512950838533384,0.9826995635135599
0.536,0.028598031415492137,0.98304655192616
0.537,0.027711988620363646,0.9786216200197697
0.538,0.027343975829406005,0.9767383761093495
0.539,0.028434354458342744,0.9819756988363747
0.54,0.027853809217737058,0.9790531320715599
0.541,0.028772349363900253,0.9834691589280181
0.542,0.027594085890424516,0.9776079461857197
0.543,0.028187916677567704,0.9804264536581444
0.544,0.029754076624201,0.9880283063307739
0.545,0.027088383838041442,0.9748063605830732
0.546,0.0262976064743278,0.9708607723159645
0.547,0.02693057258532086,0.9738309214846251
0.548,0.026759041382548407,0.9729021814423395
0.549,0.027182745410572272,0.9748673521633857
0.55,0.026591396760385046,0.971894979588881
0.551,0.026720925815989206,0.9724261359685246
0.552,0.026599816790521525,0.9717408368918192
0.553,0.02784458477541479,0.9776906478136927
0.554,0.02814955644092541,0.979100993067783
0.555,0.02854334575881508,0.9809526590122614
0.556,0.028137617169276298,0.9788921750528167
0.557,0.027655903822201067,0.9764581572340126
0.558,0.027237981091297936,0.9743345803502192
0.559,0.027687996446088554,0.9764378242724921
0.56,0.02728189356989789,0.9743724684211881
0.561,0.027622758713614512,0.9759446711341005
0.562,0.029841442089443965,0.986687634148935
0.5630000000000001,0.030823661940767706,0.9914816739668666
0.5640000000000001,0.03048918054403918,0.9897861886932696
0.5650000000000001,0.03184426179522762,0.9964501656809465
0.5660000000000001,0.0314081692661323,0.9942551865328874
0.5670000000000001,0.02914949282728032,0.9829979711473651
0.5680000000000001,0.02809350730136544,0.9777461223987527
0.5690000000000001,0.026146063546452093,0.9681487462051998
0.5700000000000001,0.025828145018078088,0.9665054088885042
0.5710000000000001,0.02588938153863585,0.9666925289536858
0.5720000000000001,0.02763770995714729,0.9750350688665607
0.5730000000000001,0.0280185385972164,0.9768083737750788
0.5740000000000001,0.02782253202847013,0.9757731964467004
0.5750000000000001,0.02873403868737423,0.9801396558943435
0.5760000000000001,0.026397316420068255,0.9686204658332791
0.577,0.02668023406838406,0.9698898894357963
0.578,0.02751654201989933,0.9738487309632862
0.579,0.02600277171552711,0.9663928443912891
0.58,0.027211230407705407,0.9721258105212147
0.581,0.027602745853510028,0.9739395500576066
0.582,0.027203567067880713,0.9719119513363897
0.583,0.02790203693478807,0.9752168434964833
0.584,0.030337198785749656,0.987011447389024
0.585,0.030566528199131197,0.9880988428837312
0.586,0.030869296065874064,0.9895536576234123
0.587,0.03038624502271084,0.9871270585341494
0.588,0.029478154626996943,0.9826014182688989
0.589,0.030411361706196568,0.9871294497057317
0.59,0.029495927132240453,0.9825679221059119
0.591,0.029605174816629547,0.983048080773578
0.592,0.02911656636773064,0.980591478397759
0.593,0.02966612948068939,0.9832239390385116
0.594,0.030060600049739105,0.9851091183329319
0.595,0.03122813366871897,0.9908114984120254
0.596,0.030684433130279062,0.9880866868456178
0.597,0.03041339331722988,0.9867083725458415
0.598,0.02936260926668738,0.9814810685048836
0.599,0.028913020604911775,0.9792162968466526
0.6,0.029352036749601264,0.9813008290300338
0.601,0.030204215957938894,0.9854234471035798
0.602,0.02921998938880584,0.9805277948266929
0.603,0.030192469375927896,0.985235014392113
0.604,0.03171167492505342,0.9926724695602052
0.605,0.03220217608724132,0.9950828579253073
0.606,0.03435561874317874,1.0057802433597716
0.607,0.03346545944926413,1.001319143120484
0.608,0.032045014050261486,0.9942095317777281
0.609,0.030055071860700396,0.9842982214253186
0.61,0.031725244615965834,0.9924695599836695
0.611,0.032487213982372476,0.9962267773061366
0.612,0.03244638853248556,0.9960107763729587
0.613,0.03278799932119559,0.9976987654086655
0.614,0.03152070711781014,0.9913687248889573
0.615,0.03429239699011025,1.0050806034473065
0.616,0.03446086289939268,1.0059416715802993
0.617,0.03460591718470717,1.0066882657661418
